ID,Date,Orig_Tweet,Tweet,Type,RTs,Hashtags,UserMentionNames,UserMentionID,Name
1.01359706064014E+018,7/2/2018 1:35,"RT @Squawka: Only two goalkeepers have saved three penalties in a #WorldCup penalty shoot-out: 

1/7/2006: #POR's Ricardo vs. #ENG 

1/7/2019",Only two goalkeepers have saved three penalties in penalty shoot out Ricardo vs,Statistical,477,"WorldCup,POR,ENG",Squawka Football,Squawka,Cayleb
1.01359705621929E+018,7/2/2018 1:35,"RT @FCBarcelona: ?? @ivanrakitic scores the winning penalty to send @HNS_CFF into the #WorldCup quarter-finals, where they'll face Russia!",scores the winning penalty to send into the quarter finals where they will face Russia,Admirational,1031,WorldCup,"FC Barcelona,Ivan Rakitic,HNS | CFF","FCBarcelona,ivanrakitic,HNS_CFF",Febri Aditya
1.01359704748254E+018,7/2/2018 1:35,RT @javierfernandez: Tonight we have big game.... @EvgeniPlushenko ?????? #worldcup https://t.co/LKifuNlubC,Tonight we have big game,Admirational,488,worldcup,"Javier Fernandez,Evgeni Plushenko","javierfernandez,EvgeniPlushenko",??
1.01359704419839E+018,7/2/2018 1:35,"We get stronger
Turn the music up now
We got that power power~

#PowerByEXO #WorldCup #FIFAStadiumDJ #XiuminLeague 
@weareoneEXO @FIFAWorldCup",We get stronger Turn the music up now We got that power power,Admirational,0,"PowerByEXO,WorldCup,FIFAStadiumDJ,XiuminLeague","EXO,FIFA World Cup ?","weareoneEXO,FIFAWorldCup",Frida Carrillo
1.01359703999992E+018,7/2/2018 1:35,"RT @Squawka: Only two goalkeepers have saved three penalties in a #WorldCup penalty shoot-out: 

1/7/2006: #POR's Ricardo vs. #ENG 

1/7/2019",Only two goalkeepers have saved three penalties in penalty shoot out Ricardo vs,Statistical,477,"WorldCup,POR,ENG",Squawka Football,Squawka,tar
1.01359703999586E+018,7/2/2018 1:35,"RT @FIFAWorldCup: ""We™re looking strong going into the knockout stage"" ?
We caught up with @CBF_Futebol's @Casemiro ahead of #BRAMEX
#World19",We re looking strong going into the knockout stage We caught up with ahead of,Admirational,153,BRAMEX,"FIFA World Cup ?,CBF Futebol,Casemiro","FIFAWorldCup,CBF_Futebol,Casemiro",Ligefut
1.01359703997899E+018,7/2/2018 1:35,"RT @ShShShShShSh555: I'm happy for #Russia winning. Especially since, you know, we colluded and all. 
Russia eliminates Spain after penalty",am happy for winning Especially since you know we colluded and all Russia eliminates Spain after penalty,Admirational,4,Russia,V?Deplorable?45  ??,ShShShShShSh555,?a?????
1.01359703895143E+018,7/2/2018 1:35,"RT @FridaCarrillo05: When you see me
When we feel the same feeling
Power power~

?????
#PowerByEXO #WorldCup #FIFAStadiumDJ #XiuminLeague",When you see me When we feel the same feeling Power power,Admirational,1,"PowerByEXO,WorldCup,FIFAStadiumDJ,XiuminLeague",Frida Carrillo,FridaCarrillo05,"STAN LEGENDS, STAN EXO"
1.01359703818815E+018,7/2/2018 1:35,"RT @FIFAWorldCup: Kasper Schmeichel takes the final @Budweiser #ManoftheMatch award of the day ?
#CRODEN #WorldCup https://t.co/2XfblBT7ki",Kasper Schmeichel takes the final award of the day,Admirational,2199,"ManoftheMatch,CRODEN,WorldCup","FIFA World Cup ?,Budweiser","FIFAWorldCup,Budweiser",Sky Ler
1.01359703711852E+018,7/2/2018 1:35,"RT @BTSARMYNA: .@BTS_twt After 5 Years
1. Global Puma Ambassador
2. LG Mobile Ambassador
3. CocaCola WorldCup
4. Kookmin Bank
5. UNICEF
6.",After Years Global Puma Ambassador LG Mobile Ambassador CocaCola WorldCup Kookmin Bank UNICEF,Statistical,5146,,"???? & ???? ???? â„¢ ??,?????","BTSARMYNA,BTS_twt",Kate
